id,object_img
486,1202
813,1761
2980,1467
13,1203
2467,700
2526,1721
297,65
2981,870
2055,2605
45,2449
1462,82
103,1708
1719,2690
180,2707
1300,2073
359,620
2936,1677
613,1821
2776,733
352,1655
1273,916
1374,1592
1790,2430
279,2880
1979,2707
2550,2281
2770,2801
656,558
2393,2828
2179,2067
1433,1105
30,8
2940,1054
2233,2882
2792,1416
1212,394
1037,752
1661,864
2570,962
1928,1079
1175,806
2405,2334
1290,1076
2059,-76
810,2763
2096,1877
786,1321
1058,1011
2724,741
247,2061
1231,2302
2890,866
2253,2101
487,2310
1627,2882
1526,2332
1980,2760
999,743
671,2802
2178,2456
1554,518
2113,102
678,2833
522,1307
1180,653
1033,636
292,81
2180,2600
457,515
790,2569
946,1482
531,643
1386,2528
865,2175
238,752
2862,1825
2591,222
2235,959
679,2486
1840,921
2666,1395
1689,460
2984,2547
2044,631
728,2671
870,519
1303,475
908,652
1747,779
2424,104
1652,2555
267,2574
1785,853
730,2485
694,2142
2650,1097
425,1748
189,352
1221,1355
1408,2284
70,286
1270,2713
211,2283
2680,806
2882,2594
284,2194
81,2094
1966,1783
1360,914
2296,2406
1211,2349
1812,1123
2649,1573
1707,1979
2111,2535
2285,1005
2173,2354
1555,2401
289,1939
2888,1338
1613,455
913,2197
2032,638
421,2272
2502,2643
444,211
2951,1119
1957,2829
2580,1353
176,190
1564,1300
1090,1159
686,1879
234,1464
1019,126
2918,643
2967,2481
1126,843
204,2494
1989,1882
232,2887
846,2023
1557,716
2440,1215
1848,2525
1160,2030
930,476
2677,1203
848,2792
2995,1373
77,43
1396,1466
2019,1035
612,2831
1357,201
158,530
1098,2820
1240,850
784,220
1718,1847
2562,49
2047,1709
2452,1405
1588,186
153,113
818,307
441,1584
599,1531
2658,2735
1351,2330
1905,1311
1903,1311
1883,2683
315,892
2722,1340
88,2876
2971,2796
446,287
2130,1245
1565,1460
768,2828
760,2313
1757,2513
2630,806
1498,249
2336,479
1089,2027
595,808
1048,2420
273,2057
622,1067
509,1637
1371,198
2718,1789
2822,1635
1024,1825
195,2466
1489,2844
1643,1325
171,2334
323,2686
1587,1100
142,42
512,1209
169,971
1591,687
1570,696
2406,582
2290,1520
2093,1098
1656,2051
1937,1023
2892,2275
2352,1771
2348,838
1101,1813
602,2182
1114,1096
1074,2380
1503,466
2190,2909
1534,500
109,579
1869,2044
60,2786
481,370
2893,611
465,2332
140,2617
2276,884
933,699
1193,2878
2872,2537
2349,2248
1850,2082
1815,2457
573,1881
2065,1097
354,1219
2530,857
696,2020
2669,667
1962,2366
2422,1657
94,205
943,948
135,1157
2417,498
2175,1984
2623,1765
1510,2130
766,806
239,1063
1657,2907
2137,740
463,2050
1615,84
880,504
1740,1607
2534,1728
1035,2281
252,155
2960,702
2504,1522
912,259
1254,2516
1981,1267
795,2536
1463,1026
197,1457
811,342
1629,2485
566,1832
1792,54
53,748
965,2043
652,1554
1375,2261
1972,2813
1150,814
2921,2951
2205,2686
2304,2095
1836,1200
1209,2075
1229,1024
554,2080
